Name,Comment,Time,Likes,Reply Count
Jhalak Khatri,"<a href=""http://www.youtube.com/results?search_query=%23saveshwetabhgangwar"">#saveshwetabhgangwar</a>",2022-09-06T05:44:57Z,0,0
Punjabi Munda,64 lakhs price phone yes that&#39;s true 64 lac,2022-09-06T05:32:20Z,0,0
P-B status-king,"640,0000 lak ka 🤭🤫🤭🤭🤫🙊🙉🙈",2022-09-06T05:31:22Z,0,0
Shyam Danu,सर आपका एक फोन मुझे बहुत ज्यादा  Beautiful Laga इसके अंदर जो छोटे-छोटे दाने हैं ना सोने के वह तो मुझे बहुत ही Love❤️ लगे और एक बात सर यह जो फोन है आपके हाथों में बहुत ही प्यारा लग रहा है,2022-09-06T04:44:27Z,0,0
Vipul Saini,When you have lot of money but don&#39;t no where to spend..,2022-09-06T04:25:49Z,0,0
सार्वभौमिक,"<a href=""http://www.youtube.com/results?search_query=%23saveswetabhgangwar"">#SaveSwetabhGangwar</a>",2022-09-06T03:40:23Z,0,0
IND UNITED GAMER,640000,2022-09-06T03:36:24Z,0,0
Junaid Habib,"this made me sad. this kind of videos reminds u how unsuccessful u r in ur life. im sure those who have the ability to buy such gadgets/products don’t feel the same. but most of the people are clearly not capable of buying such things, they can&#39;t even dare to dream about buying these things!<br>but sach me, im feeling so depressed! suddenly it made me feel so small, so tiny.. not that i want to have such things, but im realizing i will never be able to be that rich and provide my family with expensive goods! money can&#39;t buy happiness, i know that, but when u want to provide the best for ur loved ones, the only thing u need is money! when u want to gift ur other half all the things she wants, but u r not able to do so, its not a pleasant feeling at all! May the Almighty bless us all with happiness! Ameen.",2022-09-06T00:13:24Z,0,0
Anupam Yadav,Mast,2022-09-05T22:09:22Z,0,0
Vashu Gupta,"<a href=""http://www.youtube.com/results?search_query=%23saveshwetabhgangwar"">#saveshwetabhgangwar</a>",2022-09-05T21:24:51Z,0,0
Yash Agarwal,Paisa chadd gya sar pr,2022-09-05T18:52:41Z,0,0
Arjun Singh,80 lakh ka phone hai bhai ed ko bejo iske pass😂,2022-09-05T18:40:50Z,0,0
Alm Electrical,60 lakah ka phone hai,2022-09-05T17:03:45Z,0,0
Technical Nakul,Gazab laga sir,2022-09-05T17:00:24Z,0,0
Tech & technical,Aap isaka price Sandeep maheshwari sir ke show bataoge.. maine past dekhi hain,2022-09-05T16:43:59Z,0,0
Arbaaj Ansari,75 lakh) ka hoga,2022-09-05T16:25:46Z,0,0
Raj Shiromani,my thought about this<br><br><br>this is epic bull shit🙂,2022-09-05T16:21:58Z,0,0
Ana Fernandez,Hme pasand nahi aya phone,2022-09-05T15:53:46Z,0,0
Funda Short's,Thanks for this Video because I was searching for this without hardwork there is no success 💪❤,2022-09-05T15:39:36Z,0,0
Rishabh Sharma,Chutiya phone lag rha h😂,2022-09-05T15:37:19Z,0,0
Ashis Das,Sir apka phone main chori karunga,2022-09-05T15:35:47Z,0,0
Karan Rastogi,Sir what is price ? 😍 Amazing sir.👌,2022-09-05T15:22:00Z,0,0
mohit lashkari,Iska give away kab hai guruji?,2022-09-05T15:12:31Z,0,0
Gaurav Joshi,Main Samay Hoon From Mahabharat...👍👌,2022-09-05T15:02:32Z,0,0
Sanat Garg,It cost him around 64 lakhs,2022-09-05T14:13:07Z,1,0
Bihari View,I mean 65 Lakh,2022-09-05T10:35:07Z,0,0
Adarshuc007,Dere bhai,2022-09-05T09:10:16Z,0,0
bhavin malvi,Bhai tum bhi ek master piece ho 💪,2022-09-05T08:42:39Z,0,0
omkar nangude,So expensive 15 lacks 😮😮,2022-09-05T08:21:33Z,0,0
DODWADIYA VIDEO,The cost mobile is 67 lakh,2022-09-05T07:59:12Z,1,0
Ankit  parker,That will be a stunning achievement in its own right. But putting astronauts,2022-09-05T06:03:49Z,0,0
bhavdip makvana,Nice video and big fan of you ❤️,2022-09-05T05:45:01Z,0,0
Naresh ram,64 lakh ka phone hai,2022-09-05T05:23:03Z,1,0
Amit Rawat,Who comes here after sandeep maheshwari video,2022-09-05T05:18:13Z,0,0
Ankush,Back cover to lagale bhai 🤣🤣🤣🤣🤣,2022-09-05T04:18:36Z,0,0
sam tube,@mrwhosetheboss ka content copy 😌😌,2022-09-05T04:16:15Z,0,0
bkkanda,64 lakes,2022-09-05T02:31:15Z,0,0
Manoj kumar Ahirwar,ye iphone 14 pro ho skta hai sayd🤔..guruji ne iska front nahi btaya..😒,2022-09-04T21:40:37Z,1,0
Madhur Vashishtha,Sir Please Mujhe Ek I Phone 13 Pro Dilvado ... Please please Please ...,2022-09-04T21:12:04Z,0,0
nilesh kumar,Guruji hme bhi koi i phone de do caviar na do to dusra de do koi kbse ghis rha hu Android mein,2022-09-04T19:14:12Z,0,0
